2025-12-20 18:39:46 | INFO     | 编码器位置读取器初始化完成
2025-12-20 18:39:46 | INFO     | PLC IP: 192.168.0.1
2025-12-20 18:39:46 | INFO     | 读取地址: DB5.DBD124
2025-12-20 18:39:46 | INFO     | 数据类型: Real (4 字节)
2025-12-20 18:39:46 | INFO     | 正在连接 PLC: 192.168.0.1
2025-12-20 18:39:46 | SUCCESS  | PLC 连接成功
2025-12-20 18:39:46 | INFO     | 
--- PLC 信息 ---
2025-12-20 18:39:46 | INFO     | PLC 状态: S7CpuStatusRun
2025-12-20 18:39:46 | ERROR    | 获取 PLC 信息失败: 'Client' object has no attribute 'get_order_number'
2025-12-20 18:39:46 | INFO     | 
--- 单次读取测试 ---
2025-12-20 18:39:46 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:46 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:46 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:46 | SUCCESS  | 读取成功: 右缸编码器位置 = 0.000 mm
2025-12-20 18:39:46 | INFO     | 位置值在合理范围内
2025-12-20 18:39:46 | INFO     | 
--- 连续监控演示 (10秒) ---
2025-12-20 18:39:46 | INFO     | 按 Ctrl+C 可提前退出监控
2025-12-20 18:39:46 | INFO     | 开始连续监控，间隔: 0.5 秒
2025-12-20 18:39:46 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:46 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:46 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:47 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:47 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:47 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:47 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:47 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:47 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:48 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:48 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:48 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:48 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:48 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:48 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:49 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:49 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:49 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:50 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:50 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:50 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:50 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:50 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:50 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:51 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:51 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:51 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:51 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:51 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:51 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:52 | DEBUG    | 读取 DB5.DBD124
